word,frequency
Title,1
紅樓,8
Author,1
Xueqin,1
Cao,1
Release,1
date,1
January,1
12,1
2008,1
eBook,1
24264,1
Most,1
recently,1
updated,1
December,1
22,1
2021,1
Language,1
Chinese,1
Credits,1
Wei,1
yi,1
Kao,1
START,1
OF,2
THE,2
PROJECT,2
GUTENBERG,2
EBOOK,2
第一回,2
甄士,10
隱夢幻識,1
通靈,9
賈雨村,17
風塵,5
怀閨秀,1
-----------------------------------------------------------------,6
此開,1
作者,5
自云,2
因曾,1
歷過,4
一番,78
夢幻,2
之后,63
故將,1
真事,4
隱去,2
撰此,1
石頭記,5
一書,2
故曰,3
云云,2
但書中,1
所記,2
何事,38
何人,19
自又云,1
今風塵,1
碌碌,5
一事,35
無成,3
念及,3
當日,51
所有,75
女子,40
一細,1
考較,1
覺其,1
行止,7
見識,19
出于,7
之上,15
堂堂,2
須眉,4
誠不若,1
裙釵,2
實愧則,1
有余,10
無益,18
如何,284
之日,2
當此,5
則自欲將,1
已往,4
所賴,1
天恩祖,3
錦衣,5
褲之時,1
父兄,3
教育,4
之恩,5
負師友,1
規談,1
以至,9
今日,357
一技無成,1
半生,1
潦倒,3
之罪,7
編述,2
一集,1
以告,1
天下人,2
罪固,1
不免,89
然閨閣,1
中本,1
自歷歷,1
有人,247
不可,128
不肖,11
自護己,1
一并,33
之茅,1
椽蓬,1
瓦灶,1
繩床,1
晨夕,1
風露,5
階柳庭花,1
未有,10
襟怀,1
筆墨者,1
未學,1
下筆,3
無文,1
何妨,18
假語,2
村言,4
演出,4
一段,26
故事,32
亦可,11
閨閣,18
昭傳,1
复可悅,1
世之目,1
破人,2
愁悶,5
宜乎,1
此回,2
中凡用,1
提醒,18
閱者,3
眼目,4
此書,2
立意,11
本旨,1
列位,4
看官,2
從何,7
根由,2
雖近,1
荒唐,7
按則,1
深有,2
趣味,6
將此,6
來歷,14
注明,4
方使,1
了然,2
不惑,2
原來,255
煉石,3
補天,5
之時,29
荒山,4
無稽崖練,1
成高經,1
十二,55
方經,1
二十,54
四丈,1
頑石,4
三万,4
六千五百,2
零一塊,1
皇氏,1
只用,17
單單,4
一塊,79
未用,2
便棄,4
此山,2
青埂峰,12
知此,3
石自經,1
段煉,1
靈性,2
已通,1
因見,73
眾石俱得,1
自己,806
無材,3
不堪,21
入選,1
自怨,5
日夜,33
悲號,1
慚愧,7
一日,210
正當,5
悼之際,1
俄見,2
一僧,4
一道,18
遠遠,30
骨骼,1
不凡,6
丰神,1
笑笑,16
至峰,1
坐于,1
石邊,2
高談,3
快論,1
先是,20
說些,49
云山,1
霧海,1
神仙,30
玄幻,1
紅塵,9
中榮華富,1
此石,2
不覺,147
打動,3
凡心,4
想要,17
人間,10
享一享,1
這榮華富,1
自恨,1
粗蠢,2
不得已,13
口吐,1
那僧道,8
說道,333
大師,1
弟子,10
蠢物,14
不能,414
見禮,6
适聞,2
二位,30
人世,5
間榮耀,1
繁華,5
心切,1
慕之,1
稍通,1
況見,1
二師,1
形道体,1
非凡,2
必有,17
補天濟世,1
利物,2
濟人,1
之德,5
如蒙發,1
一點,65
慈心,4
攜帶,5
得入,3
那富,1
貴場,1
溫柔,12
鄉里,1
受享,1
几年,90
自當永佩,1
洪恩,1
万劫,1
二仙,4
師听,1
憨笑,1
善哉,5
那紅塵,1
有些,196
樂事,1
永遠,2
依恃,1
不足,30
好事,33
八個,10
相連屬,1
瞬息,2
間則,1
樂极,2
悲生,2
非物換,1
究竟,58
到頭,6
一夢,4
万境,1
歸空,1
倒不如,15
不去,17
這石,2
已熾,1
那里,1136
听得,45
乃复,1
苦求,3
強制,1
此亦靜,1
慫級,1
無中,1
生有,1
之數,4
如此,399
我們,1137
享受,1
只是,522
得意,27
切莫,1
后悔,29
自然,304
那僧,8
性靈,3
質蠢,1
更無奇,1
貴之處,1
只好,83
而已,50
也罷,44
如今,968
大施,1
佛法,4
待劫,1
終之日,1
還本質,1
此案,6
好否,1
石頭,16
感謝,10
念咒,1
書符,2
大展,2
幻術,1
將一塊,1
大石,3
登時,27
變成,3
鮮明瑩洁,1
美玉,7
縮成,1
大小,42
可佩,1
那僧托于,1
掌上,4
形体,2
寶物,1
還只,11
沒有,245
實在,70
須得,31
數字,1
使人,16
一見,80
知是,37
奇物,2
方妙,8
然后,143
昌明,2
隆盛,1
之邦,1
詩禮,3
簪纓,5
之族,2
花柳,7
繁華地,1
溫柔富,2
貴鄉,4
安身,12
樂業,6
乃問,3
不知,703
几件,25
奇處,1
子到,2
地方,98
明示,2
那僧笑,6
且莫,1
日后,31
明白,204
便袖,3
那道人,12
然而,8
投奔,4
何方,10
何舍,1
后來,111
過了,66
几世,2
几劫,2
因有,13
空空,13
道人,29
訪道,1
求仙,1
這大,7
無稽崖,1
下經過,1
忽見,115
一大,26
石上,11
字跡,11
分明,24
歷歷,3
頭一看,2
就是,583
幻形,1
入世,4
茫茫,6
大士,5
渺渺,3
真人,8
攜入,1
歷盡,2
离合,5
悲歡,2
炎涼,1
世態,1
后面,56
一首,44
可去,4
補蒼天,1
枉入,1
許年,1
此系,7
身前,1
身后事,1
記去,1
作奇傳,1
詩后,1
便是,174
墜落,1
投胎,2
之處,40
親自經歷,1
其中,25
家庭,5
瑣事,1
以及,24
閒情,2
詩詞,16
還全備,1
适趣,1
解悶,13
朝代,4
年紀,83
輿邦國,1
失落,6
無考,4
石兄,3
故編,1
意欲,28
問世傳奇,2
看來,38
第一件,8
可考,1
第二,27
無大賢,1
大忠理,1
朝廷,10
治風俗,1
善政,1
只不過,11
几個,296
异樣,2
或情,1
或小才,1
微善,1
無班姑,1
蔡女,1
之德能,1
世人,29
不愛看,3
答道,32
我師,3
何太痴,1
若云,1
師竟,1
假借,1
漢唐,2
添綴,1
何難,3
歷來,9
野史,5
一轍,1
莫如,2
這不,7
借此,6
套者,1
新奇,10
別致,9
不過,405
只取,2
事体,10
情理,8
罷了,236
何必,65
拘于,2
再者,40
市井,1
俗人,11
喜看,1
理治之書者,1
甚少,3
愛适趣,1
閒文者,1
特多,1
君相,1
貶人,1
妻女,10
奸淫,2
凶惡,2
胜數,3
一种,38
風月,8
筆墨,7
其淫穢,1
污臭,1
毒筆,1
坏人,1
子弟,24
佳人才子,2
千部,1
一套,22
不能不,4
涉于,1
淫濫,2
以致,10
滿紙,5
潘安,2
子建,1
西子,5
文君,2
寫出,5
兩首情,1
詩艷,1
賦來,1
故假,1
擬出,2
男女,25
二人,347
名姓,8
必旁,1
一小,10
人其,1
撥亂,1
如劇,1
小丑,4
且鬟,1
開口,13
即者,1
之乎,1
非文,1
即理,1
逐一,1
悉皆,5
自相矛盾,1
不近情理,1
之話,6
不如,188
半世,3
親睹,4
親聞,1
這几個,28
不敢,472
強似,3
前代書,1
但事跡,1
原委,15
可以,125
消愁,1
破悶,2
首歪詩,1
熟話,2
噴飯,1
供酒,1
興衰際遇,1
稍加,2
徒為,1
供人,1
之目,1
反失,3
其真,1
傳者,1
今之人,1
貧者,1
衣食,3
富者,1
之心,23
縱然,11
一時,369
貪淫,1
戀色,1
好貨,2
尋愁,2
之事,50
工夫,84
那理治之書,1
所以,448
不愿,6
稱奇,4
不定,17
喜悅,12
檢讀,1
只愿,6
他們,837
當那醉,1
臥之時,1
避世,1
之際,16
一玩,1
豈不省,1
壽命,1
筋力,1
那謀虛,1
逐妄,1
口舌,10
是非,12
之害,1
奔忙,1
換新,1
不比,13
那些,279
胡牽亂,1
忽离,1
忽遇,3
淑女,4
建文,1
君紅娘,1
小玉,2
通共,17
熟套,1
舊稿,1
意為,3
何如,19
思忖,6
半晌,26
檢閱,1
一遍,93
上面,79
指奸,1
責佞,1
貶惡,1
之語,11
亦非,8
傷時,1
世之旨,1
及至,24
君仁臣良,1
父慈子孝,1
凡倫常,1
所關,1
功頌德,1
眷眷,1
無窮,3
實非,1
別書,2
可比,15
大旨,1
談論,8
實錄,1
其事,2
假擬,1
妄稱,1
一味,31
邀艷約,1
私訂,2
偷盟,1
毫不,4
干涉,3
時世,1
方從頭,1
抄錄,5
回來,517
從此,43
因空,1
見色,1
由色,1
生情,2
傳情,3
入色,1
自色,1
悟空,1
易名,1
情僧,2
東魯孔,1
梅溪則題,1
曹雪芹,4
悼紅軒,3
閱十載,1
增刪,1
五次,1
纂成,1
目錄,1
分出,6
章回,1
則題,1
金陵,32
并題,1
一絕,4
荒唐言,1
一把,60
辛酸,3
誰解,1
出則,1
既明,1
書云,3
地陷,1
東南,4
這東南,1
一隅,1
有處,1
姑蘇,5
有城,1
門者,1
最是,22
二等,8
富貴,36
風流,33
這閶門,1
十里,5
街內,1
有個,66
仁清巷,2
巷內,2
古廟,2
呼作,1
葫蘆廟,3
一家,24
鄉宦,1
名費,1
字士,1
嫡妻,4
封氏,2
情性,13
深明,2
禮義,1
家中,90
甚富貴,1
本地,7
這甄士,1
恬淡,2
功名,19
為念,3
每日,82
只以,3
觀花,4
修竹,3
酌酒,2
吟詩,3
為樂,3
一流,5
人品,19
一件,203
半百,2
膝下,8
無儿,4
只有,207
一女,3
乳名,5
喚作,2
英蓮,8
方三歲,1
炎夏,1
永晝,2
士隱于,1
房閒,1
手倦,1
拋書,1
几少憩,1
朦朧,12
夢至,1
一處,148
不辨,1
那廂來,1
行且,1
問道,252
何往,5
放心,154
現有,22
公案,5
正該,11
這一干,7
冤家,17
尚未,61
趁此,13
机會,14
就將,4
夾帶,1
經歷,4
近日,61
冤孽,6
又將,27
造劫,1
歷世,1
去不成,11
何處,33
此事,46
說來,20
好笑,22
千古,10
未聞,3
罕事,6
西方,4
河岸,1
三生石,3
珠草,1
一株,6
時有,1
神瑛侍者,3
日以,1
甘露,4
灌溉,4
這絳珠,1
始得,2
久延歲,1
天地,25
精華,2
雨露,1
滋養,1
草胎,1
木質,1
得換,1
人形,4
修成,2
女体,1
終日,6
游于,1
天外,5
青果,1
渴則,1
灌愁,2
海水,3
為湯,1
酬報,3
故其五內,1
便郁,1
結著,1
纏綿,9
盡之意,1
偶熾,1
乘此,2
太平,12
朝世,1
下凡,6
造歷,1
幻緣,1
警幻,16
仙子,10
案前,1
了號,2
曾問,4
之情,16
未償,1
那絳珠,1
之惠,1
無此,1
水可還,1
下世,5
一生,20
眼淚還,1
也償,1
還得過,1
因此,168
勾出,1
多少,144
果是,2
罕聞,1
實未聞,1
還淚,1
想來,82
事故,7
更加,42
瑣碎,3
細膩,2
人物,32
傳其,1
大概,17
篇章,1
一飲,2
一食,1
總未述記,1
大半,9
香竊玉,1
暗約,1
私奔,1
不曾,117
儿女,25
真情,8
發泄,5
一二,18
情痴,3
色鬼,3
賢愚,2
前人,12
傳述,3
不同,49
何不,51
度脫,1
不是,730
一場,83
功德,9
合吾意,1
宮中,5
交割,3
清楚,28
風流孽,1
世已,1
已有,34
一半,57
落塵,1
然猶未,1
全集,2
隱俱听,1
不知所云,1
系何,4
東西,445
不禁,53
上前,26
施禮,4
師請,1
答禮,2
相問,4
士隱,38
适聞仙,1
師所談,1
因果,6
罕聞者,1
愚濁,1
洞悉,1
若蒙大開,1
備細,1
一聞,16
洗耳,1
稍能,1
警省,1
免沉倫之苦,1
玄机,2
預泄者,1
那時,88
不要,173
忘我,1
跳出火坑,1
不便,85
再問,13
因笑,79
預泄,1
适云,1
為何,13
見否,1
若問,8
此物,9
一面,804
之緣,1
取出,20
隱接,1
看時,135
鮮明,3
鐫著,2
通靈寶玉,5
四字,34
面還,1
几行,1
小字,6
正欲細,1
幻境,17
便強,1
手中,27
竟過,2
石牌坊,2
上書四個,1
大字,10
乃是,35
太虛,11
兩邊,48
一幅,12
對聯,17
假作,6
真時,2
真亦假,2
無為,3
還無,2
過去,115
方舉步,1
一聲,193
霹靂,1
山崩地陷,1
大叫,11
定睛一看,2
只見,702
烈日炎炎,1
芭蕉,10
冉冉,3
所夢之事,1
奶母,5
士隱見,1
女儿,190
發生,1
粉妝玉琢,1
乖覺,6
可喜,5
伸手,49
接來,9
怀內,7
頑耍,20
一回,338
街前,2
過會,2
熱鬧,53
方欲,17
進來,611
那邊,310
那僧則,1
癩頭,6
那道則,1
跛足,5
蓬頭,3
瘋癲癲,2
霍談,1
門前,28
看見士,1
隱抱,1
著英蓮,1
大哭,53
起來,788
向士,1
隱道,2
施主,6
這有命,1
累及,1
爹娘,9
之物,52
怀內作,1
瘋話,12
還說,71
我罷,24
不耐煩,9
撤身,4
進去,223
指著,34
大笑,24
口內念,2
四句,10
言詞,4
慣養,5
嬌生,5
菱花,5
空對,2
防佳節,1
元宵,11
消火滅,1
心下,81
猶豫,3
不必,194
同行,5
就此,3
分手,5
各干,1
營生,4
去罷,199
劫后,1
邙山,1
會齊,6
同往,2
銷號,1
最妙,7
一去,7
不見,137
心中,225
此時,133
自忖,5
這兩個,40
人必,5
有來歷,1
該試,1
一問,9
這士,2
隱正,1
痴想,1
隔壁,3
葫蘆,13
寄居,5
一個,1262
窮儒,1
賈名化,2
表字,6
別號,4
行者,7
出來,747
這賈雨村,1
原系,10
胡州,2
人氏,12
詩書,5
仕宦,6
生于,8
末世,4
父母,100
祖宗,40
根基,12
已盡,2
人口,32
衰喪,1
剩得,8
一身,19
一口,94
在家,157
因進,3
京求,1
再整,2
基業,2
自前,1
暫寄廟,1
賣字,1
作文,5
為生,2
故士,1
隱常,1
交接,3
下雨,7
村見,1
陪笑,90
老先生,18
倚門,1
佇望,1
街市,2
新聞否,1
小女,9
啼哭,18
引他,3
作耍,4
正是,140
無聊,5
兄來,2
正妙,1
請入,4
小齋,1
一談,2
彼此,42
消此,1
令人,43
自与雨村,1
攜手,13
房中,199
小童,10
獻茶,2
方談,1
三五句,2
家人,126
飛報,2
嚴老爺,1
起身,208
謝罪,2
駕之罪,1
弟即,2
雨村,133
先生,62
晚生,16
乃常造,1
之客,2
稍候,2
已出,7
前廳,5
這里雨,1
村且,1
翻弄,2
書籍,2
窗外,38
一看,106
丫鬟,226
擷花,1
生得,16
儀容,1
不俗,10
眉目,3
清明,6
十分,125
姿色,5
有動,2
人之處,1
甄家,23
抬頭,38
窗內,4
舊服,1
雖是,51
貧窘,2
然生,1
腰圓,1
背厚,1
面闊,1
口方,1
眉星眼,1
直鼻權,1
轉身,31
回避,23
人生,12
這樣,621
雄壯,1
襤褸,1
他定,3
我家,26
主人,24
常說,7
什么,1739
有意,18
幫助,3
周濟,3
親友,31
想定,6
此人,12
無疑,3
怪道,38
必非久,1
困之人,1
回頭,102
兩次,18
回了頭,1
狂喜,2
不盡,15
自為,30
必是,79
巨眼,2
英雄,5
知己,14
打听,130
前面,20
留飯,2
久待,3
夾道,7
中自,1
出門,70
待客,3
既散,1
知雨村,3
自便,12
中秋,10
佳節,1
家宴,9
已畢,9
另具,3
一席,25
于書房,1
中來,16
邀雨村,1
那日,78
之婢,2
回顧,1
時刻,3
放在心上,9
正值,31
因而,30
五言,4
一律,3
未卜,2
三生,1
頻添,1
悶來,3
時斂,1
行去,4
几回,3
自顧風,1
前影,2
蟾光,1
先上,1
玉人樓,1
村吟罷,1
思及,3
平生,6
抱負,2
苦未逢,1
搔首,2
對天,1
复高吟,1
一聯,4
善价,2
內待,2
時飛,2
恰值,6
兄真,1
負不淺,1
偶吟,1
之句,9
何敢,4
狂誕,1
至此,24
因問,131
何興,1
今夜,15
俗謂,1
團圓之節,1
尊兄,3
旅寄僧,1
寂寥,3
之感,1
故特具,1
小酌,1
邀兄,1
可納芹,1
意否,1
推辭,7
既蒙厚,1
拂此,1
盛情,2
同士,1
隱复過,1
這邊,92
院中,45
須臾,5
早已,108
設下杯,1
美酒佳肴,1
款斟漫,1
次漸,1
談至,1
興濃,1
限摯,1
街坊,10
家家,4
簫管,1
戶戶,1
弦歌,1
當頭,4
一輪,3
明月,7
飛彩,1
凝輝,1
愈添,1
豪興,2
酒到,1
七八分,3
酒意,1
狂興,1
寓怀,1
口號,1
時逢,1
三五,6
團圓,5
